stock,profit
sh.600007.中国国贸,1007.3496123138357
sh.600010.包钢股份,-1144.7928154874462
sh.600009.上海机场,-1109.4224681064552
sh.600008.首创环保,-887.9211395121638
sh.600000.浦发银行,-553.424382168143
sh.600004.白云机场,-339.0811560214752
sh.600006.东风汽车,-1235.6177507878638
sh.600012.皖通高速,8.23823941045157
sh.600011.华能国际,-357.6311908801763
sh.600015.华夏银行,-342.85928900256295
sh.600018.上港集团,-225.06216850384226
sh.600017.日照港,-478.31135958701816
sh.600016.民生银行,-197.19641951618178
sh.600019.宝钢股份,-616.3065708809208
sh.600020.中原高速,-203.68643019418232
sh.600021.上海电力,-1219.4809474544127
sh.600023.浙能电力,-402.20711212187234
sh.600022.山东钢铁,-827.2401770118486
sh.600025.华能水电,-404.59558917848153
sh.600026.中远海能,371.8665263822677
sh.600027.华电国际,-1589.5707338994798
sh.600028.中国石化,39.261365122214556
sh.600029.南方航空,-904.0937264187633
sh.600030.中信证券,-927.8688021952221
sh.600031.三一重工,-1461.034625443226
sh.600032.浙江新能,182.49937218816376
sh.600033.福建高速,-314.7799138815535
sh.600035.楚天高速,434.8940488775006
sh.600036.招商银行,-656.7198436882354
sh.600037.歌华有线,311.283843533507
sh.600038.中直股份,-1217.9155902526327
sh.600039.四川路桥,-895.1795368186304
sh.600048.保利发展,730.5593058985723
sh.600050.中国联通,-595.8737428401637
sh.600052.东望时代,-1210.4674859016977
sh.600051.宁波联合,35.259315030178186
sh.600053.九鼎投资,176.70432960379367
sh.600054.黄山旅游,1210.794149049896
sh.600055.万东医疗,-1298.9945747763122
sh.600056.中国医药,21744.361145916155
sh.600060.海信视像,-532.2935029752807
sh.600057.厦门象屿,0.0
sh.600058.五矿发展,-180.0702414494117
sh.600059.古越龙山,-70.96661521074202
sh.600061.国投资本,-405.3813692232852
sh.600062.华润双鹤,2553.477820412074
sh.600063.皖维高新,141.4381770819
sh.600067.冠城大通,1517.5425232312336
sh.600066.宇通客车,-1036.9459452493538
sh.600064.南京高科,260.8586855538397
sh.600071.凤凰光学,-1454.6190819575677
sh.600070.浙江富润,-1974.6763014248072
sh.600072.中船科技,-917.1277950400181
sh.600073.上海梅林,-164.31672471097045
sh.600075.新疆天业,-460.45812324867984
sh.600076.康欣新材,-357.11803121483536
sh.600077.宋都股份,6038.238315021463
sh.600079.人福医药,-989.0135532894583
